,Role,Representative Description
1,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Operations, or related fields.
Interest in the Internet and Google's technology and business.
Ability to develop and implement ideas in a changing environment. Ability to resolve business issues.
Demonstrated critical thinking skills and independent motivation.
Excellent project management, interpersonal analytical and organizational skills"
2,Business Strategy,"MBA.
10 years of marketing experience with 2 years of push (email/notifications) marketing and/or CRM experience,
Understanding of how to target messaging and visuals to market and channel."
3,Business Strategy-Intern,"Interest in the technology industry and Google’s business.
Demonstrated critical thinking skills and independent motivation.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Analytical skills, and ability to solve highly strategic and difficult business problems."
4,Data Center & Network,"Ability to work independently with minimal guidance and manage a range of projects.
Excellent organizational, communication and project management skills."
5,Developer Relations,"Experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies.
Experience working with third parties.
Experience interacting with clients or internal stakeholders.
Knowledge of web application or mobile application development landscapes."
6,Finance,"CFA certification.
Ability to present clear and concise recommendations to management.
Effective verbal and written communication skills."
7,Finance-Intern,"Analytical skills and an interest in taking on business problems.
Interpersonal and organizational skills, with the ability to navigate an ambiguous environment.
Interest in the technology industry and Google’s business."
8,Hardware Engineering,"Experience with automation for silicon design.
Extensive knowledge of Unix/Linux environments."
9,IT & Data Management,"Multilingual speaker with 2 years of experience in NLP research or related fields.
Proficiency in Python, C++ or other programming languages
Familiarity with experimental design, research methodologies, qualitative and quantitative analysis
Independent worker with the ability to effectively operate with flexibility in a fast paced, constantly evolving team environment. Team player with exceptional interpersonal and solution-oriented attitude.
Creative thinker with strong problem solving and analytical skills and excellent written and verbal communication skills."
10,Legal & Government Relations,"Excellent written and verbal communication skills, with strong organizational skills."
11,Legal & Government Relations-Intern,"Experience in a leadership role at a university and/or with external associations.
Demonstrated interest in recent developments in the field of Internet related laws, and knowledge of online technologies and services.
Excellent legal analysis and research skills.
Effective strategic problem solving skills and abilities.
Ability to see both detail-specific and big picture issues."
12,Manufacturing & Supply Chain,"MBA degree.
Experience in procurement and supply chain.
Ability to establish impactful partnerships, interpret legal documents and work with the Legal team to complete agreements.
Fluency in Mandarin and familiarity with international business customs.
Willingness to travel in Asia 25% of the time and for extended periods as required."
13,Marketing & Communications,"Experience with design advocacy
Experience in the games industry.
Familiarity with real time 3D rendering and game engines like Unity and Unreal."
14,Marketing & Communications-Intern,"Previous internship experience in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing or related fields."
15,Network Engineering,"Experience in working with/for network platform providers.
Experience with Software Defined Network (SDN) technologies.
Experience in Python and/or Go.
Good LAN and WAN troubleshooting skills, with a solid understanding of network security."
16,Partnerships,"Experience working with Salesforce, Retail systems or big data.
Background in Business Intelligence.
Background in Retail Operations (FMCG, CE, Carrier)."
17,People Operations,"Previous internship experience in Human Resources, Consulting, Customer Service or related fields."
18,Product & Customer Support,"Relevant industry or research experience.
Familiarity with both classical and Bayesian inference.
Familiarity with experimental design principles.
Ability to draw conclusions from data and recommend actions.
Demonstrated willingness to both teach others and learn new techniques."
19,Program Management,"Exposure to international logistics/market launches.
Experience managing complex partnerships.
Experience presenting to leadership both internally and externally to other partners."
20,Real Estate & Workplace Services,"Experience analyzing intelligence and threat reports to determine the risk level to a location, event or person so that resources can be scoped appropriately."
21,Sales & Account Management,"Demonstrated knowledge of Google Analytics.
Excellent analytical skills."
22,Sales Operations,"4 years of experience with online sales at scale and building scalable selling programs.
4 years of experience with CRM systems (e.g. Salesforce.com).
Understanding of the technology market with knowledge in cloud computing."
23,Software Engineering,"Experience writing highly optimized and efficient code.
Experience in robotics.
Experience working with Platform-as-a-Service (PaaS) products."
24,Technical Infrastructure,"Expertise in designing, analyzing and troubleshooting large-scale distributed systems.
Systematic problem-solving approach, coupled with strong communication skills and a sense of ownership and drive.
Ability to debug and optimize code and automate routine tasks."
25,Technical Solutions,"Operations Six Sigma certification.
Experience developing contractual agreements with third parties."
26,Technical Writing,"Graduating from BA/BS degree or MA/MS degree in 2018.
Familiarity with source code management, build systems and related processes, and the ability to quickly learn and use technology.
Proficiency with HTML, CSS and a UNIX environment.
Ability to manage multiple competing priorities in a fast-paced, constantly changing environment."
27,User Experience & Design,"12 years of work experience in a relevant position or industry.
Experience managing and/or leading quantitative teams.
Experience collaborating with qualitative UX researchers.
Excellent interpersonal, communication, negotiation, and collaboration skills"
28,User Experience & Design-Intern,"Demonstrated technical background.
A design portfolio that demonstrates a solid knowledge of web design principles.
Strong, clean visual design sense.
Solid analytical thinker with effective communication skills."
